season	17195
year	16050
game	15302
said	14749
team	14536
nfl	12336
one	9979
first	8940
player	8877
two	7849
time	7771
quarterback	7395
back	7388
would	7236
yard	7221
million	6988
play	6836
last	6771
new	6748
coach	6720
week	6370
draft	5948
get	5748
pick	5743
three	5627
deal	5543
league	5491
like	5013
ag1	4974
end	4785
could	4765
football	4732
also	4649
espn	4639
going	4488
brown	4484
bowl	4390
free	4322
second	4225
round	4223
touchdown	3998
four	3973
win	3829
technology	3807
field	3758
injury	3741
day	3703
defensive	3686
say	3612
patriot	3480
best	3422
receiver	3419
know	3346
right	3332
told	3329
contract	3305
made	3241
way	3236
still	3199
since	3177
offensive	3160
next	3126
former	3095
good	3078
super	3061
think	3036
sunday	3027
want	2980
five	2968
career	2950
playoff	2888
thing	2872
point	2861
running	2857
top	2785
tackle	2775
line	2772
left	2751
played	2738
defense	2728
agent	2696
guy	2686
even	2679
past	2645
got	2642
pas	2641
much	2607
need	2594
steelers	2576
pro	2569
source	2542
start	2497
take	2497
every	2478
eagle	2406
see	2406
long	2402
ram	2386
run	2384
giant	2380
might	2349
third	2346
rookie	2343
big	2306
bill	2306
look	2301
move	2298
jet	2293
offense	2275
come	2269
head	2235
well	2219
saint	2208
percent	2194
signed	2194
mike	2188
raider	2176
night	2159
smith	2157
cowboy	2111
viking	2075
playing	2051
chief	2045
per	2043
part	2023
record	2023
linebacker	1989
ball	1982
home	1978
trade	1977
really	1969
lot	1945
another	1944
around	1904
dolphin	1894
offseason	1890
six	1886
work	1880
great	1878
packer	1876
people	1868
brady	1862
high	1862
sack	1846
seahawks	1841
report	1837
bronco	1809
went	1800
fourth	1799
decision	1794
colt	1789
never	1784
pass	1759
give	1749
practice	1730
chance	1724
fan	1707
loss	1688
agency	1684
job	1681
safety	1678
final	1674
franchise	1673
raven	1671
signing	1654
return	1653
jackson	1652
position	1639
cap	1632
starting	1623
sign	1614
city	1603
monday	1603
bay	1602
old	1598
hit	1594
bear	1558
er	1555
cornerback	1549
month	1538
including	1527
many	1521
thursday	1506
came	1505
york	1501
roster	1488
owner	1486
whether	1481
put	1469
cardinal	1466
coordinator	1457
state	1455
charger	1450
term	1449
though	1444
adam	1437
according	1431
wide	1431
missed	1428
tight	1417
jones	1415
away	1406
took	1406
room	1402
texan	1392
star	1385
eight	1383
overall	1380
man	1379
history	1372
seven	1366
set	1360
wednesday	1358
england	1355
interception	1350
keep	1344
veteran	1339
case	1338
something	1337
titan	1330
future	1327
catch	1319
salary	1315
washington	1313
cleveland	1311
manning	1311
miami	1309
quarter	1309
likely	1307
money	1295
able	1274
williams	1273
com	1272
always	1269
teammate	1266
jaguar	1264
without	1260
knee	1259
starter	1259
goal	1249
green	1249
half	1249
given	1248
early	1243
started	1237
sport	1235
seattle	1214
redskin	1211
least	1206
san	1205
life	1204
enough	1203
falcon	1200
john	1200
question	1197
used	1194
making	1189
getting	1183
number	1183
probably	1183
lion	1168
place	1162
wanted	1158
general	1157
afc	1156
change	1156
manager	1156
feel	1155
lost	1149
market	1149
tuesday	1143
guard	1141
total	1141
dallas	1134
family	1127
later	1127
victory	1127
young	1125
hard	1124
let	1124
little	1123
asked	1122
call	1119
led	1118
coming	1113
expected	1109
thought	1108
bell	1105
winning	1105
pittsburgh	1104
regular	1102
ryan	1096
johnson	1094
friday	1093
panther	1091
ranking	1084
released	1070
schefter	1070
find	1050
statement	1047
late	1044
lead	1044
mean	1044
philadelphia	1044
foot	1041
thomas	1039
camp	1036
side	1034
issue	1033
average	1032
guaranteed	1031
rodgers	1027
arizona	1024
show	1021
full	1019
behind	1015
stadium	1009
orleans	1007
baltimore	1005
situation	1000
houston	996
nfc	989
among	985
done	981
plan	978
angeles	977
school	977
spot	977
tom	971
already	968
bengal	963
cousin	962
hand	961
saturday	961
coverage	960
throw	959
cut	956
news	956
option	956
rushing	946
ever	945
oakland	944
roethlisberger	941
minnesota	935
announced	934
championship	934
los	933
backup	926
denver	926
everything	925
may	924
trying	924
indianapolis	922
sure	921
class	920
far	920
role	919
belichick	917
try	917
kansa	916
different	915
college	914
mark	914
josh	910
love	910
called	909
snap	909
hall	908
twitter	906
saying	905
coaching	902
paid	899
nine	897
extension	895
passing	894
finished	892
looking	888
ago	885
level	884
talk	884
kind	879
zone	878
training	877
talent	873
opportunity	870
spent	868
beckham	866
rusher	864
chicago	857
threw	851
turn	851
organization	849
needed	848
brees	847
allen	843
locker	836
become	833
fifth	831
francisco	829
close	827
worth	827
outside	822
buffalo	819
highest	819
atlanta	818
matt	811
hope	809
carolina	807
grade	807
michael	804
reason	803
edge	802
offer	800
use	799
injured	798
official	798
stay	796
anything	794
center	794
carry	791
several	784
open	783
friend	781
course	775
earlier	773
meeting	771
taking	771
along	770
plus	769
le	767
tampa	767
yet	766
title	762
believe	761
james	761
front	760
tennessee	759
tell	758
preseason	757
april	756
press	755
drafted	749
forward	748
following	745
short	743
ben	742
face	742
biggest	741
losing	739
straight	739
became	737
rule	737
kaepernick	733
beat	732
list	729
agreed	728
leading	728
allowed	727
gave	727
north	727
group	726
traded	726
comment	722
reid	722
chris	721
felt	720
receiving	720
special	720
march	719
drive	717
goodell	713
information	713
robert	710
conference	709
pay	709
name	708
added	707
attempt	705
worst	701
son	699
staff	698
joe	697
potential	697
together	696
ready	695
healthy	694
minute	694
live	691
nick	690
luck	689
national	688
step	686
todd	686
associated	684
passer	683
vick	681
working	681
performance	677
suspension	677
found	674
medium	673
tag	673
break	671
president	670
process	667
aaron	666
miss	665
rest	665
wilson	662
age	660
detroit	659
problem	658
strong	657
despite	656
continue	653
ability	649
although	649
davis	649
either	649
looked	649
surgery	649
favre	648
score	646
rank	645
ended	642
foles	642
mayfield	642
antonio	641
charge	640
knew	640
dan	637
tough	636
decided	634
anthem	632
reporter	632
bonus	630
nothing	630
today	626
instead	625
bad	623
caught	623
space	622
sixth	621
